item_id,item_name,item_brand,item_variant,item_category,item_price,item_quantity,item_revenue,item_location_id,item_list_id,item_list_name,item_list_position,promotion_name,therapist_name,license_type,primary_modality,primary_specialty,session_rate,weekly_open_slots,accepting_new_clients,location_id
9182173,Google Stylus Pen w/ LED Light,Google,,Home/Stationery/Writing/,6,1,,(not set),(not set),(not set),3,Google Mural Collection,"Chloe Brown, LMFT",LMFT,Psychodynamic,Stress & Burnout,120,1,TRUE,CA-LA
9182653,Google Women's Short Sleeve Hero Dark Grey,Google,LG,Home/Apparel/Women's/,19,1,,(not set),(not set),Not available in demo dataset,12,(not set),"Marcus Jackson, LMFT",LMFT,IFS,Stress & Burnout,150,1,TRUE,CA-BayArea
9184745,Gift Card - $10.00,,Single Option Only,Gift Cards,10,2,,(not set),(not set),(not set),(not set),(not set),"Daniel Lee, LPC",LPC,Mindfulness-based,OCD,120,2,TRUE,NY-NYC
9184749,Android Large Removable Sticker Sheet,Android,Single Option Only,Accessories,2,1,2,(not set),(not set),Not available in demo dataset,(not set),(not set),"Noah Kim, LCSW",LCSW,Mindfulness-based,Self-esteem,120,1,TRUE,NY-NYC
9184749,Android Large Removable Sticker Sheet,Android,,Home/Stationery/Stickers/,3,1,,(not set),(not set),Not available in demo dataset,5,(not set),"Noah Kim, LCSW",LCSW,DBT,Stress & Burnout,120,1,TRUE,NY-NYC
9184829,Google Light Pen Blue,Google,,Home/Stationery/,3,1,,(not set),(not set),Not available in demo dataset,12,(not set),"Jun Lee, LMFT",LMFT,ACT,Stress & Burnout,120,1,TRUE,CA-LA
9184829,Google Light Pen Blue,Google,Single Option Only,Writing Instruments,2,5,8,(not set),(not set),Not available in demo dataset,(not set),(not set),"Jun Lee, LMFT",LMFT,Mindfulness-based,Stress & Burnout,120,5,TRUE,CA-LA
9184830,Google Light Pen Red,Google,Single Option Only,Writing Instruments,2,5,8,(not set),(not set),Not available in demo dataset,(not set),(not set),"Omar Kim, LMFT",LMFT,Mindfulness-based,Stress & Burnout,120,5,TRUE,NY-NYC
9184830,Google Light Pen Red,Google,,Home/Stationery/Writing/,3,5,,(not set),(not set),Not available in demo dataset,5,(not set),"Omar Kim, LMFT",LMFT,IFS,Stress & Burnout,120,5,TRUE,NY-NYC
9184831,Google Light Pen Green,Google,Single Option Only,Writing Instruments,2,5,8,(not set),(not set),Not available in demo dataset,(not set),(not set),"Aiko Jackson, LMFT",LMFT,Mindfulness-based,Stress & Burnout,120,5,TRUE,WA-Seattle
9184831,Google Light Pen Green,Google,,Home/Stationery/Writing/,3,5,,(not set),(not set),Not available in demo dataset,6,(not set),"Aiko Jackson, LMFT",LMFT,Solution-Focused,Stress & Burnout,120,5,TRUE,WA-Seattle
9184832,Google Light Pen Yellow,Google,Single Option Only,Writing Instruments,2,1,2,(not set),(not set),Not available in demo dataset,(not set),(not set),"Yuki Miller, LMFT",LMFT,Mindfulness-based,Stress & Burnout,120,1,TRUE,WA-Seattle
9184832,Google Light Pen Yellow,Google,,Home/Stationery/Writing/,3,1,,(not set),(not set),(not set),5,(not set),"Yuki Miller, LMFT",LMFT,Mindfulness-based,Stress & Burnout,120,1,TRUE,WA-Seattle
9184841,Google Tee Red,Google,LG,Home/Sale/,22,1,,(not set),(not set),(not set),11,(not set),"Maya Davis, LMFT",LMFT,IFS,Stress & Burnout,180,1,TRUE,Telehealth-US
9184841,Google Tee Red,Google,2XL,Home/Sale/,22,1,,(not set),(not set),Not available in demo dataset,1,Reach New Heights,"Maya Davis, LMFT",LMFT,CBT,Stress & Burnout,180,1,TRUE,Telehealth-US
9184841,Google Tee Red,Google,,Home/Sale/,22,,,(not set),(not set),(not set),1,(not set),"Maya Davis, LMFT",LMFT,EMDR,Stress & Burnout,180,0,FALSE,Telehealth-US
9184841,Google Tee Red,Google,XS,Home/Sale/,22,1,,(not set),(not set),Not available in demo dataset,1,(not set),"Maya Davis, LMFT",LMFT,EMDR,Stress & Burnout,180,1,TRUE,Telehealth-US
9184841,Google Tee Red,Google,3XL,Home/Sale/,22,1,,(not set),37975605861,Not available in demo dataset,11,(not set),"Maya Davis, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,Telehealth-US
9184841,Google Tee Red,Google,Choose Size,Home/Sale/,22,1,,(not set),(not set),(not set),1,Reach New Heights,"Maya Davis, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,Telehealth-US
9184841,Google Tee Red,Google,SM,Home/Sale/,22,1,,(not set),37975605861,(not set),1,Complete Your Collection,"Maya Davis, LMFT",LMFT,Solution-Focused,Stress & Burnout,180,1,TRUE,Telehealth-US
9184842,Google Tee Red,Google,XS,Clearance,9,1,9,(not set),(not set),Not available in demo dataset,(not set),(not set),"Priya Johnson, LMFT",LMFT,EMDR,Depression,120,1,TRUE,CA-LA
9184848,Google Tee Red,Google,3XL,Clearance,11,1,11,(not set),(not set),(not set),(not set),,"Daniel Hernandez, LMFT",LMFT,ACT,Depression,150,1,TRUE,NY-NYC
9184849,Google Tee Yellow,Google,Elija tamaño,Home/Sale/,22,1,,(not set),(not set),(not set),2,(not set),"Luis Anderson, LMFT",LMFT,DBT,Stress & Burnout,180,1,TRUE,CA-BayArea
9184849,Google Tee Yellow,Google,Choisir la taille,Home/Sale/,22,1,,(not set),34893283288,(not set),3,(not set),"Luis Anderson, LMFT",LMFT,DBT,Stress & Burnout,180,1,TRUE,CA-BayArea
9184849,Google Tee Yellow,Google,SM,Home/Sale/,22,1,,(not set),(not set),(not set),3,(not set),"Luis Anderson, LMFT",LMFT,Solution-Focused,Stress & Burnout,180,1,TRUE,CA-BayArea
9184849,Google Tee Yellow,Google,Choose Size,Home/Sale/,22,1,,(not set),(not set),(not set),2,(not set),"Luis Anderson, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,CA-BayArea
9184849,Google Tee Yellow,Google,,Home/Sale/,22,,,(not set),(not set),Not available in demo dataset,4,(not set),"Luis Anderson, LMFT",LMFT,DBT,Stress & Burnout,180,0,FALSE,CA-BayArea
9184849,Google Tee Yellow,Google,3XL,Home/Sale/,22,1,,(not set),(not set),Not available in demo dataset,3,(not set),"Luis Anderson, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,CA-BayArea
9184849,Google Tee Yellow,Google,XS,Home/Sale/,22,1,,(not set),(not set),(not set),2,Google Mural Collection,"Luis Anderson, LMFT",LMFT,EMDR,Stress & Burnout,180,1,TRUE,CA-BayArea
9184849,Google Tee Yellow,Google,XL,Home/Sale/,22,1,,(not set),(not set),(not set),3,Google Mural Collection,"Luis Anderson, LMFT",LMFT,EMDR,Stress & Burnout,180,1,TRUE,CA-BayArea
9184849,Google Tee Yellow,Google,2XL,Home/Sale/,22,1,,(not set),(not set),Not available in demo dataset,3,Act Responsible,"Luis Anderson, LMFT",LMFT,CBT,Stress & Burnout,180,1,TRUE,CA-BayArea
9184850,Google Tee Yellow,Google,XS,Clearance,9,1,9,(not set),(not set),(not set),(not set),,"Luis Anderson, LMFT",LMFT,EMDR,Depression,120,1,TRUE,CA-LA
9184856,Google Tee Yellow,Google,3XL,Clearance,11,1,11,(not set),(not set),Not available in demo dataset,(not set),(not set),"Emily Wilson, LMFT",LMFT,ACT,Depression,150,1,TRUE,Telehealth-US
9184857,Google Tee Green,Google,3XL,Home/Sale/,22,1,,(not set),(not set),(not set),2,(not set),"Marcus Jackson, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,Telehealth-US
9184857,Google Tee Green,Google,2XL,Home/Sale/,22,1,,(not set),(not set),Not available in demo dataset,2,(not set),"Marcus Jackson, LMFT",LMFT,CBT,Stress & Burnout,180,1,TRUE,Telehealth-US
9184857,Google Tee Green,Google,,Home/Sale/,22,,,(not set),55543732177,Not available in demo dataset,3,Act Responsible,"Marcus Jackson, LMFT",LMFT,Mindfulness-based,Stress & Burnout,180,0,FALSE,Telehealth-US
9184857,Google Tee Green,Google,Choose Size,Home/Sale/,22,1,,(not set),(not set),Not available in demo dataset,2,(not set),"Marcus Jackson, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,Telehealth-US
9184857,Google Tee Green,Google,XS,Home/Sale/,22,1,,(not set),(not set),Not available in demo dataset,2,(not set),"Marcus Jackson, LMFT",LMFT,EMDR,Stress & Burnout,180,1,TRUE,Telehealth-US
9184858,Google Tee Green,Google,XS,Clearance,11,1,9,(not set),(not set),Not available in demo dataset,(not set),Google Mural Collection,"Daniel Anderson, LMFT",LMFT,EMDR,Depression,150,1,TRUE,CA-BayArea
9184865,Google Tee Blue,Google,XS,,22,1,,(not set),(not set),(not set),6,(not set),"Leila Garcia, LMFT",LMFT,EMDR,Career Stress,180,1,TRUE,WA-Seattle
9184865,Google Tee Blue,Google,SM,Home/Sale/,22,1,,(not set),48235178424,Not available in demo dataset,4,Act Responsible,"Leila Garcia, LMFT",LMFT,Solution-Focused,Stress & Burnout,180,1,TRUE,WA-Seattle
9184865,Google Tee Blue,Google,,Home/Sale/,22,,,(not set),48235178424,Not available in demo dataset,3,Google Mural Collection,"Leila Garcia, LMFT",LMFT,DBT,Stress & Burnout,180,0,FALSE,WA-Seattle
9184865,Google Tee Blue,Google,3XL,Home/Sale/,22,1,,(not set),(not set),(not set),9,(not set),"Leila Garcia, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,WA-Seattle
9184865,Google Tee Blue,Google,Choose Size,Home/Sale/,22,1,,(not set),48235178424,Not available in demo dataset,8,(not set),"Leila Garcia, LMFT",LMFT,ACT,Stress & Burnout,180,1,TRUE,WA-Seattle
9184865,Google Tee Blue,Google,XL,Home/Sale/,22,1,,(not set),(not set),(not set),4,Reach New Heights,"Leila Garcia, LMFT",LMFT,EMDR,Stress & Burnout,180,1,TRUE,WA-Seattle
9184866,Google Tee Blue,Google,XS,Uncategorized Items,9,1,9,(not set),(not set),(not set),(not set),,"Priya Davis, LMFT",LMFT,EMDR,ADHD,120,1,TRUE,Telehealth-US
9184911,Google Crewneck Sweatshirt Navy,Google,Choose Size,Home/Apparel/,55,1,,(not set),(not set),(not set),3,Reach New Heights,"Kenji Wilson, LMFT",LMFT,ACT,Stress & Burnout,220,1,TRUE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,2XL,Home/Apparel/Men's / Unisex/,55,1,,(not set),(not set),(not set),2,(not set),"Kenji Wilson, LMFT",LMFT,CBT,Stress & Burnout,220,1,TRUE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,,Home/Apparel/Men's / Unisex/,55,,,(not set),(not set),(not set),3,(not set),"Kenji Wilson, LMFT",LMFT,CBT,Stress & Burnout,220,0,FALSE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,SM,Home/Apparel/Men's / Unisex/,55,1,,(not set),(not set),Not available in demo dataset,2,(not set),"Kenji Wilson, LMFT",LMFT,Solution-Focused,Stress & Burnout,220,1,TRUE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,XL,Home/Apparel/Men's / Unisex/,55,1,,(not set),(not set),Not available in demo dataset,2,(not set),"Kenji Wilson, LMFT",LMFT,EMDR,Stress & Burnout,220,1,TRUE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,LG,Home/Apparel/Men's / Unisex/,55,1,,(not set),(not set),(not set),1,Reach New Heights,"Kenji Wilson, LMFT",LMFT,IFS,Stress & Burnout,220,1,TRUE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,3XL,Home/Apparel/Men's / Unisex/,55,1,,(not set),(not set),(not set),3,(not set),"Kenji Wilson, LMFT",LMFT,ACT,Stress & Burnout,220,1,TRUE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,MD,Home/Apparel/Men's / Unisex/,55,1,,(not set),(not set),Not available in demo dataset,2,(not set),"Kenji Wilson, LMFT",LMFT,EMDR,Stress & Burnout,220,1,TRUE,CA-BayArea
9184911,Google Crewneck Sweatshirt Navy,Google,XS,Home/Apparel/Women's/,55,1,,(not set),(not set),(not set),4,(not set),"Kenji Wilson, LMFT",LMFT,EMDR,Stress & Burnout,220,1,TRUE,CA-BayArea
9184912,Google Crewneck Sweatshirt Navy,Google,XS,Apparel,44,1,44,(not set),(not set),Not available in demo dataset,(not set),(not set),"Sara Garcia, LMFT",LMFT,EMDR,Anxiety,220,1,TRUE,Telehealth-US
9184913,Google Crewneck Sweatshirt Navy,Google,SM,Apparel,55,1,44,(not set),(not set),Not available in demo dataset,(not set),Reach New Heights,"Priya Lee, LMFT",LMFT,Solution-Focused,Anxiety,220,1,TRUE,Telehealth-US
9184914,Google Crewneck Sweatshirt Navy,Google,MD,Apparel,44,1,44,(not set),(not set),Not available in demo dataset,(not set),,"Omar Brown, LMFT",LMFT,EMDR,Anxiety,220,1,TRUE,CA-LA
9184915,Google Crewneck Sweatshirt Navy,Google,LG,Uncategorized Items,44,1,44,(not set),(not set),Not available in demo dataset,(not set),,"Sara Sato, LMFT",LMFT,IFS,ADHD,220,1,TRUE,Telehealth-US
9184916,Google Crewneck Sweatshirt Navy,Google,XL,Uncategorized Items,44,1,44,(not set),(not set),Not available in demo dataset,(not set),(not set),"Daniel Lopez, LMFT",LMFT,EMDR,ADHD,220,1,TRUE,NY-NYC
9184917,Google Crewneck Sweatshirt Navy,Google,2XL,Uncategorized Items,44,1,44,(not set),(not set),Not available in demo dataset,(not set),Act Responsible,"Marcus Jackson, LMFT",LMFT,CBT,ADHD,220,1,TRUE,NY-NYC
9184918,Google Crewneck Sweatshirt Navy,Google,3XL,Uncategorized Items,55,2,,(not set),(not set),Not available in demo dataset,(not set),(not set),"Ava Wilson, LMFT",LMFT,ACT,ADHD,220,2,TRUE,Telehealth-US
9184955,YouTube Women's Favorite Tee White,YouTube,XL,Home/Sale/,22,1,,(not set),19781257195,Not available in demo dataset,4,(not set),"Sara Lopez, LPC",LPC,EMDR,Stress & Burnout,180,1,TRUE,CA-BayArea
9184955,YouTube Women's Favorite Tee White,YouTube,Choose Size,Home/Sale/,22,1,,(not set),19781257195,Not available in demo dataset,4,(not set),"Sara Lopez, LPC",LPC,ACT,Stress & Burnout,180,1,TRUE,CA-BayArea
9184955,YouTube Women's Favorite Tee White,YouTube,2XL,Home/Sale/,22,1,,(not set),(not set),(not set),3,(not set),"Sara Lopez, LPC",LPC,CBT,Stress & Burnout,180,1,TRUE,CA-BayArea
9184955,YouTube Women's Favorite Tee White,YouTube,LG,Home/Sale/,22,1,,(not set),19781257195,Not available in demo dataset,4,(not set),"Sara Lopez, LPC",LPC,IFS,Stress & Burnout,180,1,TRUE,CA-BayArea
9184961,YouTube Women's Favorite Tee White,YouTube,2XL,Uncategorized Items,9,2,11,(not set),(not set),(not set),(not set),Not available in demo dataset,"Noah Sato, LPC",LPC,CBT,ADHD,120,2,TRUE,NY-NYC
9184979,Android Large Trace Journal Black,Android,Single Option Only,Notebooks & Journals,6,1,6,(not set),(not set),(not set),(not set),,"Sara Lopez, LCSW",LCSW,Mindfulness-based,ADHD,120,1,TRUE,NY-NYC
9184979,Android Large Trace Journal Black,Android,,Home/Sale/,16,1,,(not set),(not set),Not available in demo dataset,7,(not set),"Sara Lopez, LCSW",LCSW,IFS,Stress & Burnout,150,1,TRUE,NY-NYC
9184980,Android Small Trace Journal Black,Android,Single Option Only,Notebooks & Journals,7,1,5,(not set),(not set),(not set),(not set),Not available in demo dataset,"Sara Nguyen, LCSW",LCSW,Mindfulness-based,ADHD,120,1,TRUE,CA-BayArea
9184980,Android Small Trace Journal Black,Android,,Home/Sale/,13,1,,(not set),(not set),Not available in demo dataset,8,Reach New Heights,"Sara Nguyen, LCSW",LCSW,Psychodynamic,Stress & Burnout,150,1,TRUE,CA-BayArea
9184981,Google Small Standard Journal Navy,Google,,Home/Stationery/Notebooks/,13,2,,(not set),(not set),Not available in demo dataset,8,Reach New Heights,"Emily Sato, LMFT",LMFT,Solution-Focused,Stress & Burnout,150,2,TRUE,Telehealth-US
9184981,Google Small Standard Journal Navy,Google,Single Option Only,Lifestyle,5,1,5,(not set),(not set),Not available in demo dataset,(not set),,"Emily Sato, LMFT",LMFT,Mindfulness-based,Sleep,120,1,TRUE,Telehealth-US
9184988,Google Emoji Sticker Pack,Google,Single Option Only,Accessories,4,1,4,(not set),(not set),(not set),(not set),,"Sofia Hernandez, LMFT",LMFT,Mindfulness-based,Self-esteem,120,1,TRUE,CA-LA
9184988,Google Emoji Sticker Pack,Google,,Home/Stationery/Stickers/,5,2,,(not set),(not set),Not available in demo dataset,9,(not set),"Sofia Hernandez, LMFT",LMFT,IFS,Stress & Burnout,120,2,TRUE,CA-LA
9185002,Google Large Standard Journal Grey,Google,Single Option Only,Office,16,1,16,(not set),(not set),Not available in demo dataset,(not set),(not set),"Rina Brown, LMFT",LMFT,Mindfulness-based,Career & Work Stress,150,1,TRUE,CA-LA
9185002,Google Large Standard Journal Grey,Google,,Home/Stationery/Notebooks/,16,2,,(not set),(not set),(not set),6,Reach New Heights,"Rina Brown, LMFT",LMFT,ACT,Stress & Burnout,150,2,TRUE,CA-LA
9185010,Google Bot,Google,,,10,1,,(not set),(not set),Not available in demo dataset,2,(not set),"Noah Brown, LMFT",LMFT,ACT,Anxiety,120,1,TRUE,Telehealth-US
9185010,Google Bot,Google,Single Option Only,Accessories,8,1,8,(not set),(not set),(not set),(not set),,"Noah Brown, LMFT",LMFT,Mindfulness-based,Self-esteem,120,1,TRUE,Telehealth-US
9185141,Google Mens Microfleece Jacket Black,Google,SM,Home/Sale/,75,1,,(not set),(not set),(not set),4,(not set),"Emily Patel, LMFT",LMFT,Solution-Focused,Stress & Burnout,250,1,TRUE,CA-LA
9185141,Google Mens Microfleece Jacket Black,Google,2XL,Home/Sale/,75,1,,(not set),(not set),(not set),5,(not set),"Emily Patel, LMFT",LMFT,CBT,Stress & Burnout,250,1,TRUE,CA-LA
9185141,Google Mens Microfleece Jacket Black,Google,LG,Home/Sale/,75,1,,(not set),(not set),Not available in demo dataset,5,(not set),"Emily Patel, LMFT",LMFT,IFS,Stress & Burnout,250,1,TRUE,CA-LA
9185141,Google Mens Microfleece Jacket Black,Google,MD,Home/Sale/,75,1,,(not set),(not set),(not set),5,(not set),"Emily Patel, LMFT",LMFT,EMDR,Stress & Burnout,250,1,TRUE,CA-LA
9185141,Google Mens Microfleece Jacket Black,Google,XL,Home/Sale/,75,1,,(not set),(not set),(not set),5,Google Mural Collection,"Emily Patel, LMFT",LMFT,EMDR,Stress & Burnout,250,1,TRUE,CA-LA
9185146,Google Mens Microfleece Jacket Black,Google,2XL,Uncategorized Items,42,1,42,(not set),(not set),(not set),(not set),,"Aiko Miller, LMFT",LMFT,CBT,ADHD,220,1,TRUE,CA-BayArea
9185147,Google Women's Microfleece Jacket Black,Google,Choose Size,,75,1,,(not set),15207033596,(not set),5,Reach New Heights,"Noah Brown, LMFT",LMFT,ACT,Depression,250,1,TRUE,NY-NYC
9185147,Google Women's Microfleece Jacket Black,Google,MD,,75,1,,(not set),15207033596,Not available in demo dataset,5,(not set),"Noah Brown, LMFT",LMFT,EMDR,Depression,250,1,TRUE,NY-NYC
9185147,Google Women's Microfleece Jacket Black,Google,,Home/Apparel/Women's/,75,,,(not set),(not set),(not set),2,(not set),"Noah Brown, LMFT",LMFT,EMDR,Stress & Burnout,250,0,FALSE,NY-NYC
9185147,Google Women's Microfleece Jacket Black,Google,SM,Home/Apparel/Women's/,75,1,,(not set),15207033596,Not available in demo dataset,2,(not set),"Noah Brown, LMFT",LMFT,Solution-Focused,Stress & Burnout,250,1,TRUE,NY-NYC
9185147,Google Women's Microfleece Jacket Black,Google,LG,Home/Apparel/Women's/,75,1,,(not set),(not set),Not available in demo dataset,2,Act Responsible,"Noah Brown, LMFT",LMFT,IFS,Stress & Burnout,250,1,TRUE,NY-NYC
9185147,Google Women's Microfleece Jacket Black,Google,XS,Home/Apparel/Women's/,75,1,,(not set),(not set),(not set),2,(not set),"Noah Brown, LMFT",LMFT,EMDR,Stress & Burnout,250,1,TRUE,NY-NYC
9185147,Google Women's Microfleece Jacket Black,Google,2XL,Home/Apparel/Women's/,75,2,,(not set),15207033596,Not available in demo dataset,2,Act Responsible,"Noah Brown, LMFT",LMFT,CBT,Stress & Burnout,250,2,TRUE,NY-NYC
9185147,Google Women's Microfleece Jacket Black,Google,XL,Home/Apparel/Women's/,75,1,,(not set),15207033596,(not set),2,Act Responsible,"Noah Brown, LMFT",LMFT,EMDR,Stress & Burnout,250,1,TRUE,NY-NYC
9185148,Google Women's Microfleece Jacket Black,Google,XS,Uncategorized Items,60,1,,(not set),(not set),Not available in demo dataset,(not set),Reach New Heights,"Jun Hernandez, LMFT",LMFT,EMDR,ADHD,220,1,TRUE,CA-LA
9185149,Google Women's Microfleece Jacket Black,Google,SM,Uncategorized Items,60,1,60,(not set),(not set),Not available in demo dataset,(not set),,"Leila Patel, LMFT",LMFT,Solution-Focused,ADHD,220,1,TRUE,WA-Seattle
9185150,Google Women's Microfleece Jacket Black,Google,MD,Uncategorized Items,60,1,60,(not set),(not set),Not available in demo dataset,(not set),(not set),"Rina Hernandez, LMFT",LMFT,EMDR,ADHD,220,1,TRUE,CA-BayArea
9185151,Google Women's Microfleece Jacket Black,Google,LG,Uncategorized Items,60,1,60,(not set),(not set),Not available in demo dataset,(not set),,"Leila Anderson, LMFT",LMFT,IFS,ADHD,220,1,TRUE,NY-NYC
9185152,Google Women's Microfleece Jacket Black,Google,XL,Uncategorized Items,60,1,60,(not set),(not set),Not available in demo dataset,(not set),Not available in demo dataset,"Daniel Anderson, LMFT",LMFT,EMDR,ADHD,220,1,TRUE,CA-BayArea
